Glottocode	Verb_final	Free_word_order	Nominal_case	Family_ID
koor1239	1	1	1	Ta-Ne-Omotic
mana1295	1	0	0	Austronesian
seke1241	0	0	0	Austronesian
shor1247	1	0	1	Turkic
sioo1240	0	0	0	Austronesian
tuka1248	0	1	0	Austronesian
cent2084	0	1	0	Austronesian
dobu1241	1	1	0	Austronesian
fare1241	0	0	0	Atlantic-Congo
keap1239	1	1	1	Austronesian
kuan1248	0	0	0	Austronesian
kuyy1240	0	0	0	Austroasiatic
mara1399	0	0	0	Austronesian
nali1244	0	0	0	Austronesian
port1285	0	0	0	Austronesian
tbol1240	0	0	0	Austronesian
bafi1243	0	1	0	Atlantic-Congo
dumb1241	0	0	0	Austronesian
kamb1297	0	1	0	Atlantic-Congo
kuan1247	0	0	0	Atlantic-Congo
lewo1242	0	0	0	Austronesian
luan1263	0	0	0	Austronesian
malu1245	0	0	0	Austronesian
mang1401	0	0	0	Austronesian
mapo1242	0	0	0	Austronesian
mbay1241	0	0	0	Central Sudanic
mpot1240	0	1	0	Atlantic-Congo
naka1262	0	0	0	Austronesian
naur1243	0	1	0	Austronesian
raro1241	0	1	0	Austronesian
sika1261	0	1	0	Austronesian
tigo1236	0	0	0	Atlantic-Congo
tita1241	0	0	0	Austronesian
ayiw1239	0	1	0	Austronesian
cici1237	0	0	0	Atlantic-Congo
hali1244	0	0	0	Austronesian
leng1259	0	1	0	Austronesian
logo1259	0	0	0	Central Sudanic
luya1241	0	0	0	Atlantic-Congo
masb1238	0	1	0	Austronesian
noon1243	0	0	0	Atlantic-Congo
reng1252	0	1	0	Austroasiatic
sabu1255	0	1	0	Austronesian
samb1305	0	1	0	Atlantic-Congo
shol1240	1	1	1	Dravidian
sout3261	0	1	1	Nakh-Daghestanian
term1237	0	0	0	Austronesian
tong1325	0	1	0	Austronesian
chuj1250	0	0	0	Mayan
gilb1244	0	0	0	Austronesian
makc1235	0	1	0	Tai-Kadai
moke1242	0	1	0	Austronesian
moki1238	0	1	0	Austronesian
tiga1245	0	0	0	Austronesian
turk1303	0	0	1	Turkic
zays1235	1	0	1	Ta-Ne-Omotic
dido1241	1	1	1	Nakh-Daghestanian
hunz1247	1	0	1	Nakh-Daghestanian
kele1259	0	0	0	Austronesian
khak1248	1	0	1	Turkic
kolc1235	0	0	0	Atlantic-Congo
nucl1240	0	0	0	Atlantic-Congo
pagi1243	0	0	0	Atlantic-Congo
paul1238	0	0	0	Austronesian
tekt1235	0	0	0	Mayan
thao1240	0	1	0	Austronesian
ware1253	0	0	0	Austronesian
yape1248	0	0	0	Austronesian
blab1237	0	1	0	Austronesian
cent1990	0	0	0	Austroasiatic
gofa1235	1	0	1	Ta-Ne-Omotic
ibal1244	0	0	1	Austronesian
kgal1244	0	0	0	Atlantic-Congo
khva1239	1	0	1	Nakh-Daghestanian
luva1239	0	1	0	Atlantic-Congo
mato1252	0	0	0	Austronesian
neng1238	0	1	0	Austronesian
pang1290	0	0	0	Austronesian
urav1235	0	0	0	Austronesian
voti1245	0	0	1	Uralic
warj1242	0	1	0	Austroasiatic
alor1247	0	0	0	Austronesian
bata1289	0	0	0	Austronesian
chec1245	1	0	1	Nakh-Daghestanian
iliu1237	0	0	0	Austronesian
khan1274	0	0	0	Austroasiatic
makh1264	0	0	0	Atlantic-Congo
mamb1294	0	0	0	Atlantic-Congo
mang1405	0	1	0	Austronesian
mayo1261	0	0	0	Atlantic-Congo
ngba1285	0	0	0	Atlantic-Congo
taku1257	0	0	0	Austronesian
tugu1245	0	0	0	Austronesian
bagi1246	0	0	0	Central Sudanic
bali1278	0	0	0	Austronesian
nort2702	1	1	1	Dravidian
chek1238	0	0	0	Austronesian
kafa1242	1	0	0	Ta-Ne-Omotic
khmu1256	0	0	0	Austroasiatic
lach1248	0	0	0	Tai-Kadai
mari1426	0	0	1	Austronesian
nort2671	0	1	1	Uralic
pang1287	0	0	0	Atlantic-Congo
rade1240	0	0	0	Austronesian
shwe1236	0	0	0	Austroasiatic
urak1238	0	0	0	Austronesian
whit1269	0	0	0	Austronesian
boly1239	0	0	0	Austroasiatic
chra1242	0	0	0	Austroasiatic
ingu1240	1	0	1	Nakh-Daghestanian
kaba1281	0	0	0	Central Sudanic
mopa1243	0	0	0	Mayan
rata1244	0	1	1	Austronesian
siee1239	0	0	0	Austronesian
sout2869	0	0	0	Austronesian
timn1235	0	1	0	Atlantic-Congo
adon1237	0	0	0	Austronesian
baro1253	0	0	0	Austronesian
bull1247	0	1	0	Atlantic-Congo
ghod1238	1	1	1	Nakh-Daghestanian
kryt1240	1	0	1	Nakh-Daghestanian
lika1243	0	0	0	Atlantic-Congo
lugb1240	0	0	1	Central Sudanic
vunj1238	0	0	0	Atlantic-Congo
achi1256	0	0	0	Mayan
arop1242	0	0	0	Austronesian
dupa1235	0	0	1	Austronesian
fina1242	0	0	1	Austronesian
hula1239	1	1	1	Austronesian
kala1384	0	0	0	Atlantic-Congo
leme1238	0	0	0	Austronesian
mina1268	0	1	0	Austronesian
tsis1238	0	0	0	Atlantic-Congo
isna1241	0	0	0	Austronesian
kolu1245	1	1	0	Austronesian
kute1248	0	0	0	Atlantic-Congo
maan1238	0	1	0	Austronesian
mala1463	1	1	1	Dravidian
moch1257	0	0	0	Mayan
rapa1244	0	0	0	Austronesian
