Glottocode	AUTOTYP_area	Longitude	Latitude	Family_ID	Name
amba1263	S Africa	30.0014	0.81206	atla1278	Amba (Uganda)
amba1265	N Coast New Guinea	136.526	-1.88126	aust1307	Ambai
amba1266	Oceania	166.498	-11.2958	aust1307	Amba (Solomon Islands)
amba1267	Oceania	120.283	14.8156	aust1307	Ambala Ayta
amba1269	N Coast New Guinea	144.285	-4.23181	kera1258	Ambakich
ambe1246	N Coast New Guinea	137.903651	-1.763355	uncl1493	Ambermo
ambe1247	African Savannah	9.62028	5.94043	atla1278	Ambele
ambe1248	Oceania	127.196	-3.85919	aust1307	Ambelau
ambl1237	Oceania	166.95	-15.5169	aust1307	Amblong
ambo1249	African Savannah	10.7798	7.07637	atla1278	Ambo
ambo1250	Oceania	128.184	-3.71342	aust1307	Ambonese Malay
ambo1252	Andean	-76.1135	-10.5138	quec1387	Ambo-Pasco Quechua
ambr1239	N Coast New Guinea	142.56	-3.61	nucl1708	Ambrak
ambu1247	N Coast New Guinea	143.059	-3.7801	nduu1242	Ambulas
amda1238	African Savannah	20.8912	14.7528	fura1235	Amdang
amdo1237	Inner Asia	100.485	34.5177	sino1245	Amdo Tibetan
amel1241	N Coast New Guinea	145.687	-5.29126	nucl1709	Amele
amer1248	E North America	-81.6121	33.8117	sign1238	American Sign Language
amga1235	Oceania	121.042	16.9016	aust1307	Amganad Ifugao
amha1245	Greater Abyssinia	39.543456	11.708182	afro1255	Amharic
amii1238	N Australia	130.04	-13.5573	west2434	Ami
amis1246	Oceania	121.348	23.0917	aust1307	Amis
amol1235	N Coast New Guinea	142.532	-3.46843	nucl1708	Mol
amol1236	Mesoamerica	-97.4518	16.6521	otom1299	Amoltepec Mixtec
amoo1242	African Savannah	8.65405	10.3229	atla1278	Amo
amor1239	Greater Mesopotamia	40.72	34.71	afro1255	Amorite
ampa1238	African Savannah	-3.55	14.15	dogo1299	Ampari Dogon
ampa1239	Southeast Asia	116.349	-0.79259	aust1307	Ampanang
amri1238	Indic	91.482	26.024	sino1245	Amri Karbi
amto1250	N Coast New Guinea	141.339	-4.12165	amto1249	Amto
amun1246	NE South America	-62.3064	-9.04023	tupi1275	Amundava
anaa1238	African Savannah	7.57969	4.94832	atla1278	Anaang
anak1240	Oceania	119.605	-9.63425	aust1307	Anakalangu
anal1239	Southeast Asia	94.2806	24.0506	sino1245	Anal
anam1247	N Coast New Guinea	145.051	-4.68869	nucl1709	Anam
anam1248	N Coast New Guinea	144.991	-4.63762	nucl1709	Anamuxra
anam1249	NE South America	-49.303	-2.71119	tupi1275	Anambé
anas1239	N Coast New Guinea	137.716	-1.73908	book1242	Anasi
anat1248	African Savannah	-3.1168	14.6669	dogo1299	Ana Tinga Dogon
anat1259	Greater Mesopotamia	32.87	39.87	turk1311	Anatolian Turkish
anau1243	NE South America	-65.413237	1.480584	araw1281	Anauyá
anca1236	African Savannah	11.1087	6.66524	book1242	Áncá
anci1242	Europe	21.9129	39.8155	indo1319	Ancient Greek
anci1244	Greater Mesopotamia	35.1725	31.7761	afro1255	Ancient Hebrew
anci1245	Greater Mesopotamia	39.776	29.044	afro1255	Ancient North Arabian
