"Name","Glottocode","Family_ID","AUTOTYP_area","Nominal_case","Verb_final","Free_word_order","Latitude","Longitude"
"Tikar","tika1246","atla1278","African Savannah","0","0","0",5.87004,11.6104
"Tuwali Ifugao","tuwa1243","aust1307","Oceania","0","0","0",16.6646,121.113
"Unua","unua1237","aust1307","Oceania","0","0","0",-16.2638,167.599
"Anta-Komnzo-Wára-Wérè-Kémä","wara1294","more1255","S New Guinea","1","1","1",-8.64917,141.52
"Wu Chinese","wuch1236","sino1245","Southeast Asia","0","0","1",29.8621,119.682
"Wusa Nasu","wusa1235","sino1245","Southeast Asia","0","1","0",25.7707,102.367
"Yogad","yoga1237","aust1307","Oceania","0","0","0",16.7015,121.718
"Youle Jinuo","youl1235","sino1245","Southeast Asia","0","1","1",22.0473,101.057
"Longchuan Achang","acha1249","sino1245","Southeast Asia","0","1","1",24.3479,97.7438
"Bella Coola","bell1243","sali1255","Alaska-Oregon","0","0","0",52.3448,-126.689
"Biao-Jiao Mien","biao1254","hmon1336","Southeast Asia","0","0","1",25.5309,111.344
"Bugawac","buga1250","aust1307","N Coast New Guinea","0","0","0",-6.67519,147.32
"Buwal","buwa1243","afro1255","African Savannah","0","0","0",10.6151,13.8838
"Cubeo","cube1242","tuca1253","NE South America","1","0","1",1.32382,-70.1939
"Czech","czec1258","indo1319","Europe","1","0","1",49.873398,15.10437
"Daasanach","daas1238","afro1255","Greater Abyssinia","1","1","1",4.58879,35.9888
"Khroskyabs","guan1266","sino1245","Southeast Asia","1","1","1",31.5655,101.928
"Bininj Kun-Wok","gunw1252","gunw1250","N Australia","0","0","1",-12.3398,133.358
"Huallaga Huánuco Quechua","hual1241","quec1387","Andean","1","1","1",-9.57135,-75.594
"Iatmul","iatm1242","nduu1242","N Coast New Guinea","1","1","0",-4.30064,143.316
"Kam","kamm1249","atla1278","African Savannah","0","0","0",8.305,11.05611111
"Koromfé","koro1298","atla1278","African Savannah","0","0","0",14.046,-1.96187
"Kwaio","kwai1243","aust1307","Oceania","0","0","0",-8.93744,160.965
"Lithuanian","lith1251","indo1319","Inner Asia","1","0","1",55.1429,23.9601
"Manange","mana1288","sino1245","Indic","1","1","1",28.6416,84.0515
"Maori","maor1246","aust1307","Oceania","0","0","0",-38.2881,176.541
"Maru","maru1249","sino1245","Southeast Asia","0","1","1",24.942535,99.8338
"Nese","nese1235","aust1307","Oceania","1","0","0",-15.952608,167.222769
"Northern Khmer","nort2684","aust1305","Southeast Asia","0","0","1",14.4674,103.863
"Northern Yukaghir","nort2745","yuka1259","Inner Asia","1","1","1",70.498,157.853
"Georgian","nucl1302","kart1248","Greater Mesopotamia","1","0","1",41.850397,43.78613
"Kannada","nucl1305","drav1251","Indic","1","1","1",13.5878,76.1198
"Nêlêmwa-Nixumwak","kuma1276","aust1307","Oceania","0","0","1",-20.4035,164.193
"Rukai","ruka1240","aust1307","Oceania","0","0","1",22.7738,120.844
"Southern Haida","sout2956","haid1248","Alaska-Oregon","0","1","1",53.2616,-132.008
"Tuwuli","tuwu1238","atla1278","African Savannah","0","0","0",7.31095,0.38008
"Vera'a","vera1241","aust1307","Oceania","0","0","0",-13.892528,167.428701
"Woi","woii1237","aust1307","N Coast New Guinea","0","0","0",-1.62746,135.484
"Anu-Hkongso","anuu1241","sino1245","Indic","0","0","0",21.5,93.05
"Bafut","bafu1246","atla1278","African Savannah","0","0","0",6.14153,10.1194
"Belarusian","bela1254","indo1319","Inner Asia","1","0","1",53.2307,25.6038
"Bugan","buga1247","aust1305","Southeast Asia","0","0","0",23.6124,104.963
"Cahuilla","cahu1264","utoa1244","Mesoamerica","1","1","0",33.5324,-116.691
"Central Mnong","cent1992","aust1305","Southeast Asia","1","0","0",12.6313,107.301
"Choctaw","choc1276","musk1252","E North America","1","1","0",32.25,-88.5
"Digo","digo1243","atla1278","S Africa","0","0","1",-4.62101,39.1752
"Eastern Newari","east2773","sino1245","Indic","1","1","0",27.576985,86.033964
"Erzya","erzy1239","ural1272","Inner Asia","1","0","0",52.8548,45.3901
"Eastern Mari","east2328","ural1272","Inner Asia","1","1","0",55.8307,48.405
"Gyele","gyel1242","atla1278","African Savannah","0","0","0",2.47457,10.2493
"Hadza","hadz1240",NA,"S Africa","0","0","1",-3.83115,35.0458
"Kokota","koko1269","aust1307","Oceania","0","0","1",-8.16481,159.191
"Kunbarlang","kunb1251","gunw1250","N Australia","0","0","1",-11.9133,133.723
"Lombard","lomb1257","indo1319","Europe","0","0","1",45.8817,9.39509
"Mapudungun","mapu1245","arau1255","Andean","0","0","1",-38.7392,-71.277
"Marathi","mara1378","indo1319","Indic","1","1","1",17.9344,76.6665
"Mundang","mund1325","atla1278","African Savannah","1","0","0",9.83195,14.4751
"Tundra Nenets","nene1249","ural1272","Inner Asia","1","1","1",66.1775,71.0234
"Northern Tujia","nort2732","sino1245","Southeast Asia","0","1","0",29.3016,109.759
"Burmese","nucl1310","sino1245","Southeast Asia","1","1","0",20.7926,93.9665
"Miyako","miya1259","japo1237","N Coast Asia","1","1","1",24.7564,125.363
"Onondaga","onon1246","iroq1247","E North America","0","0","1",42.92,-76.12
"Ottawa","otta1242","algi1248","E North America","0","0","1",44.5988,-83.226
"Evenki","even1259","tung1282","Inner Asia","1","1","1",61.972,94.689
"Selkup","selk1253","ural1272","Inner Asia","1","1","1",59.9409,82.3004
"Standard Malay","stan1306","aust1307","Southeast Asia","0","0","0",3.08896,101.699
"Ternate","tern1247","nort2923","Oceania","0","0","0",0.80562,127.333
"Toba-Enenlhet","toba1268","leng1261","SE South America","0","0","1",-21.5474,-58.0158
"Western Lawa","west2396","aust1305","Southeast Asia","0","0","0",19.8678,99.2057
"Sakha","yaku1245","turk1311","Inner Asia","1","1","0",61.69744,133.98031
"Biao Mon","biao1256","hmon1336","Southeast Asia","0","0","1",24.6451,113.469
"Breton","bret1244","indo1319","Europe","0","0","1",48.2452,-3.78934
"Degema","dege1246","atla1278","African Savannah","0","0","0",4.73373,6.80991
"Dhao","dhao1237","aust1307","Oceania","0","0","1",-10.8098,122.658
"Eastern Kayah","east2342","sino1245","Southeast Asia","0","0","0",19.8939,98.3359
"Ese Ejja","esee1248","pano1259","NE South America","1","1","1",-11.7268,-67.515
"Fon","fonn1241","atla1278","African Savannah","0","0","1",7.15484,1.66495
"Hadiyya","hadi1240","afro1255","Greater Abyssinia","1","1","0",7.57377,37.7577
"Hungarian","hung1274","ural1272","Europe","1","1","1",46.9068585714,19.6555271429
"Irish","iris1253","indo1319","Europe","0","0","1",53.2186,-7.61509
"Lamjung-Melamchi Yolmo","hela1238","sino1245","Indic","1","1","0",27.9212,85.6289
"Lewotobi","lewo1244","aust1307","Oceania","0","0","1",-8.54573,122.747
"Tamambo","malo1243","aust1307","Oceania","1","0","0",-15.6835,167.16
"Mualang","mual1241","aust1307","Southeast Asia","0","0","1",0.31083,111.077
"Northern Subanen","nort2885","aust1307","Oceania","1","0","1",8.5232,123.588
"Northwestern Ojibwa","nort2961","algi1248","E North America","0","0","1",51.6192,-87.7862
"Purik-Sham-Nubra","puri1258","sino1245","Indic","1","1","1",34.3386,76.0127
"Shabo","shab1252",NA,"Greater Abyssinia","1","1","1",7.64407,35.223
"Sichuan Yi","sich1238","sino1245","Southeast Asia","0","1","0",28.1947,102.121
"East Uvean","wall1257","aust1307","Oceania","0","0","1",-13.2903,-176.207
"Wambule","wamb1257","sino1245","Indic","1","1","1",27.14808,86.47646
"West Uvean","west2516","aust1307","Oceania","0","0","0",-20.4145,166.589
"Xamtanga","xamt1239","afro1255","Greater Abyssinia","1","1","0",12.4479,38.8352
"Xârâcùù","xara1244","aust1307","Oceania","0","0","0",-21.7034,165.996
"Yucatec Maya","yuca1254","maya1287","Mesoamerica","0","0","0",18.7757,-88.9567
"Zarma","zarm1239","song1307","African Savannah","0","0","1",12.8554,2.41173
"Abkhaz","abkh1244","abkh1242","Greater Mesopotamia","0","0","0",43.056218,41.159115
"Afar","afar1241","afro1255","Greater Abyssinia","1","1","1",12.2281,41.8083
"Arapaho","arap1274","algi1248","Basin and Plains","0","0","1",43.3879,-108.81
"Basque","basq1248",NA,"Europe","1","1","1",43.2787,-1.31622
"Chak","chak1270","sino1245","Indic","1","1","0",21.4134,92.5953
"Chamorro","cham1312","aust1307","Oceania","0","0","1",13.438011,144.74474
"Cocama-Cocamilla","coca1259","tupi1275","NE South America","0","0","0",-4.5,-74
"Gagauz","gaga1249","turk1311","Inner Asia","1","0","1",44.59876,28.02769
"Gheg Albanian","gheg1238","indo1319","Europe","1","0","0",42.317,21.3837
"Iban","iban1264","aust1307","Southeast Asia","0","0","0",2.09041,112.934
"Itzá","itza1241","maya1287","Mesoamerica","0","0","0",17.0269,-89.8734
"Kachama-Ganjule-Haro","kach1284","gong1255","Greater Abyssinia","1","1","0",6.3971,37.9291
"Kesawai","kesa1244","nucl1709","Interior New Guinea","1","1","1",-5.76797,145.58
"Kilen","kile1243","tung1282","Inner Asia","1","1","0",47.585,132.48
"Kim Mun","kimm1245","hmon1336","Southeast Asia","0","0","1",22.9856,105.024
"Kinnauri","kinn1249","sino1245","Indic","1","1","0",31.3688,78.3148
"Kosraean","kosr1238","aust1307","Oceania","0","0","0",5.31,162.98
"Lashi","lash1243","sino1245","Southeast Asia","0","1","0",26.0992,98.5481
"Tirax","maee1241","aust1307","Oceania","0","0","0",-15.9914,167.288
"Maléku Jaíka","male1297","chib1249","Mesoamerica","0","1","0",10.7485,-84.7318
"Masana","masa1322","afro1255","African Savannah","0","0","0",10.0606,15.4748
"Ngalkbun","ngal1292","gunw1250","N Australia","1","1","1",-13.9783,133.936
"Nivaclé","niva1238","mata1289","SE South America","0","0","0",-22.8557,-61.7606
"Noon","noon1242","atla1278","African Savannah","0","0","0",14.792,-16.9205
"North Azerbaijani","nort2697","turk1311","Greater Mesopotamia","1","1","0",40.97768,46.4737
"Eastern Armenian","nucl1235","indo1319","Greater Mesopotamia","1","0","1",40,45
"Igbo","nucl1417","atla1278","African Savannah","0","0","0",4.62705,7.23441
"Pacoh","paco1243","aust1305","Southeast Asia","0","0","1",16.3353,107.094
"Papapana","papa1265","aust1307","Oceania","0","0","1",-5.92283,155.289
"Popti'","popt1235","maya1287","Mesoamerica","0","0","0",15.6609,-91.6633
"Saisiyat","sais1237","aust1307","Oceania","1","0","1",24.6043,121.067
"Tahitian","tahi1242","aust1307","Oceania","0","0","0",-17.6485,-149.45
"Tiri-Mea","tiri1258","aust1307","Oceania","1","0","1",-21.8147,165.792
"Trió","trio1238","cari1283","NE South America","0","0","0",2.53616,-55.7599
"Uripiv-Wala-Rano-Atchin","urip1239","aust1307","Oceania","0","0","1",-16.00951,167.34643
"Veps","veps1250","ural1272","Inner Asia","1","0","1",60.3353,34.7865
"Wandala","wand1278","afro1255","African Savannah","0","0","1",11.3169,13.8996
"Wawa","wawa1246","atla1278","African Savannah","0","0","0",6.68974,11.7802
"Western Dani","west2594","nucl1709","Interior New Guinea","1","1","1",-3.77127,138.217
"Ulwa (Papua New Guinea)","yaul1241","kera1258","N Coast New Guinea","0","1","0",-4.39912,143.993
"A'ou","aoua1234","taik1256","Southeast Asia","0","0","0",26.8,105.85
"Bisu","bisu1244","sino1245","Southeast Asia","0","1","0",20.8542,99.9862
"Burji","burj1242","afro1255","Greater Abyssinia","1","1","0",4.44624,38.4646
"Central Chong","cent2314","aust1305","Southeast Asia","0","0","0",12.608611,102.270556
"Dakaka","daka1243","aust1307","Oceania","0","0","0",-16.2696,168.013
"Dimasa","dima1251","sino1245","Indic","1","1","1",25.4198,93.1806
"Dutch","dutc1256","indo1319","Europe","0","0","0",52,5
"East Futuna","east2447","aust1307","Oceania","0","0","1",-14.278717,-178.137222
"Fijian","fiji1243","aust1307","Oceania","0","0","1",-18,178.33
"Ha","haaa1252","atla1278","S Africa","0","0","1",-3.77873,30.4894
"Herero","here1253","atla1278","S Africa","0","0","0",-21.0231,20.5655
"Hindi","hind1269","indo1319","Indic","1","1","0",25,77
"Jukun Takum","juku1254","atla1278","African Savannah","1","0","0",7.20236,10.2576
"Kéo","keoo1238","aust1307","Oceania","0","0","0",-8.8704,121.256
"Khana","khan1278","atla1278","African Savannah","0","0","0",4.70908,7.44363
"Kilivila","kili1267","aust1307","S New Guinea","0","0","0",-8.72574,151.072
"Lala","lala1268","aust1307","S New Guinea","0","1","0",-8.93195,146.749
"Lumun","lumu1239","narr1279","African Savannah","0","0","0",10.8308,30.253
"Macedonian","mace1250","indo1319","Europe","1","0","1",41.5957,21.7932
"Miya","miya1266","afro1255","African Savannah","0","1","0",10.9234,9.71505
"Mpade","mpad1242","afro1255","African Savannah","0","0","0",12.561391,14.446893
"Northern Qiang","nort2722","sino1245","Southeast Asia","1","1","0",32.2766,103.192
"Occitan","occi1239","indo1319","Europe","0","0","0",44.1415,6.82979
"Patpatar","patp1243","aust1307","N Coast New Guinea","0","0","0",-3.74711,152.493
"Wanohe","saka1289","aust1307","Oceania","0","0","0",-15.0757,167.051
"Sochiapam Chinantec","soch1239","otom1299","Mesoamerica","0","0","1",17.7985,-96.6079
"Serbian-Croatian-Bosnian","sout1528","indo1319","Europe","1","0","0",44.15,18.81
"Taulil","taul1251","taul1250","N Coast New Guinea","0","0","1",-4.44425,152.095
"Bumthangkha","bumt1240","sino1245","Indic","1","1","1",27.6494,90.8037
"Western Frisian","west2354","indo1319","Europe","0","0","0",53.143,5.86091
"Northwest Sahaptin","yaki1237","saha1239","Basin and Plains","0","0","1",46.2655,-120.756
"Dusner","dusn1237","aust1307","N Coast New Guinea","0","0","0",-2.73859,134.391
"Filipino","fili1244","aust1307","Oceania","0","0","0",12.265,123.464
"Hani","hani1248","sino1245","Southeast Asia","0","1","0",22.67753,102.851673333
"Highland Popoluca","high1276","mixe1284","Mesoamerica","0","0","0",18.198,-94.9109
"Kagulu","kagu1239","atla1278","S Africa","0","0","0",-6.38204,37.0534
"Katso","kats1235","sino1245","Southeast Asia","0","1","1",24.6,102.4
"Komi-Zyrian","komi1268","ural1272","Inner Asia","1","0","1",64.0527,54.946
"Kwara'ae","kwar1239","aust1307","Oceania","0","0","0",-8.75779,160.804
"Lolopo","lolo1259","sino1245","Southeast Asia","0","1","1",25.50051,101.30185
"Muduapa","mudu1242","aust1307","N Coast New Guinea","0","0","0",-4.69751,149.489
"Mün Chin","munc1235","sino1245","Southeast Asia","0","1","0",20.289,94.3929
"Paasaal","paas1238","atla1278","African Savannah","0","0","0",10.2004,-1.8048
"Selaru","sela1259","aust1307","Oceania","0","0","0",-8.18376,130.961
"Southern Pumi","sout2729","sino1245","Southeast Asia","0","1","0",27.8408,100.622
"Southern Nambikuára","sout2994","namb1299","NE South America","1","1","0",-14.3707,-59.5187
"Southern Aymara","sout2996","ayma1253","Andean","1","1","1",-17.1417,-70.3442
"Surgut Khanty","surg1248","ural1272","Inner Asia","0","1","0",61.25,73.35
"Tamasheq","tama1365","afro1255","African Savannah","1","0","0",14.2038,-2.41269
"Tiefo-Nyafogo-Numudara","tief1244","atla1278","African Savannah","0","0","0",10.85,-4.45
"Waima","waim1251","aust1307","S New Guinea","0","1","1",-8.67145,146.544
"Akoose","akoo1248","atla1278","African Savannah","0","0","0",4.9243,9.65522
"Ao Naga","aona1235","sino1245","Southeast Asia","1","1","1",26.3241,94.3824
"Assiniboine","assi1247","siou1252","Basin and Plains","0","1","0",49.2923,-106.068
"Bulo Stieng","bulo1242","aust1305","Southeast Asia","0","0","1",11.9777,106.798
"Central Mansi","cent2322","ural1272","Inner Asia","1","1","0",61.1432,62.4023
"Min Nan Chinese","minn1241","sino1245","Southeast Asia","0","0","0",24.5,118.17
"Creek","cree1270","musk1252","E North America","1","1","0",31,-87.5
"Dhimal","dhim1246","sino1245","Indic","0","1","0",26.6283,88.3798
"Halh Mongolian","halh1238","mong1349","Inner Asia","1","1","0",48.32397,106.28874
"Idi-Taeme","idii1243","paho1240","S New Guinea","1","1","1",-8.75976,142.301
"Japhug","japh1234","sino1245","Southeast Asia","0","1","1",32.1,102.36
"Korean","kore1280","kore1284","N Coast Asia","1","1","1",37.54,126.98
"Naman","litz1237","aust1307","Oceania","0","0","0",-16.1331,167.415
"Loniu","loni1238","aust1307","N Coast New Guinea","0","0","0",-2.06124,147.35
"Luo (Kenya and Tanzania)","luok1236","nilo1247","S Africa","0","0","1",-0.93296,34.4896
"Ma'di","madi1260","cent2225","S Africa","0","0","0",3.62499,31.8471
"Mailu","mail1248","mail1249","S New Guinea","0","0","0",-10.3657,149.521
"Mezquital Otomi","mezq1235","otom1299","Mesoamerica","0","0","1",20.2274,-99.5564
"Mina (Cameroon)","mina1276","afro1255","African Savannah","0","0","0",10.38053,13.84054
"Moba","moba1244","atla1278","African Savannah","0","0","0",10.9496,0.159565
"Mpur","mpur1239",NA,"N Coast New Guinea","0","0","0",-0.7489,133.166
"Navajo","nava1243","atha1245","Basin and Plains","0","1","0",36.33,-109.38
"Nyankole","nyan1307","atla1278","S Africa","0","0","1",-0.46364,30.548
"South Wa","para1301","aust1305","Southeast Asia","0","0","0",22.8658,99.375
"Pendau","pend1242","aust1307","Oceania","1","0","1",-0.11396,119.862
"Rongpo","rong1264","sino1245","Indic","1","1","0",30.528,79.567
"Savosavo","savo1255",NA,"Oceania","1","1","0",-9.12853,159.814
"Situ","situ1238","sino1245","Southeast Asia","0","1","1",31.590536,102.660664
"Tsonga","tson1249","atla1278","S Africa","0","0","0",-23.5754,31.8105
"Urim","urim1252","nucl1708","N Coast New Guinea","0","0","1",-3.58018,142.653
"Warao","wara1303",NA,"NE South America","0","0","0",7.50851,-59.3528
"Western Karaboro","west2466","atla1278","African Savannah","0","1","0",10.6298,-4.76482
"Yatzachi Zapotec","yatz1235","otom1299","Mesoamerica","0","0","1",17.1869,-96.284
"Yawuru","yawu1244","nyul1248","N Australia","1","0","1",-18.004,122.693
"Adang","adan1251","timo1261","Oceania","0","1","1",-8.18958,124.448
"Argobba","argo1244","afro1255","Greater Abyssinia","1","1","0",10.6596,39.756
"Arta","arta1239","aust1307","Oceania","1","0","1",16.4185,121.656
"Bebele","bebe1248","atla1278","African Savannah","0","0","1",4.78874,12.824
